algorithm,step,mean_reward,ci95_reward,seed,seed_reward
Double SOR DQN,6000,158.42000000000002,42.615800025812014,4,133.5
Double SOR DQN,7000,229.58,50.990386017758276,0,267.4
Double SOR DQN,7000,229.58,50.990386017758276,1,132.4
Double SOR DQN,7000,229.58,50.990386017758276,2,258.1
Double SOR DQN,7000,229.58,50.990386017758276,3,218.8
Double SOR DQN,7000,229.58,50.990386017758276,4,271.2
Double SOR DQN,8000,175.36,3.542452619302061,0,176.0
Double SOR DQN,8000,175.36,3.542452619302061,1,178.2
Double SOR DQN,8000,175.36,3.542452619302061,2,169.7
Double SOR DQN,8000,175.36,3.542452619302061,3,179.8
Double SOR DQN,8000,175.36,3.542452619302061,4,173.1
Double SOR DQN,9000,245.18,43.407668251588916,0,221.3
Double SOR DQN,9000,245.18,43.407668251588916,1,185.5
Double SOR DQN,9000,245.18,43.407668251588916,2,309.0
Double SOR DQN,9000,245.18,43.407668251588916,3,228.5
Double SOR DQN,9000,245.18,43.407668251588916,4,281.6
Double SOR DQN,10000,215.06,53.110741732346376,0,169.1
Double SOR DQN,10000,215.06,53.110741732346376,1,177.3
Double SOR DQN,10000,215.06,53.110741732346376,2,318.9
Double SOR DQN,10000,215.06,53.110741732346376,3,214.0
Double SOR DQN,10000,215.06,53.110741732346376,4,196.0
Double SOR DQN,11000,225.5,29.467412047887755,0,257.7
Double SOR DQN,11000,225.5,29.467412047887755,1,183.7
Double SOR DQN,11000,225.5,29.467412047887755,2,204.4
Double SOR DQN,11000,225.5,29.467412047887755,3,220.6
Double SOR DQN,11000,225.5,29.467412047887755,4,261.1
Double SOR DQN,12000,219.11999999999998,28.60555370972567,0,248.8
Double SOR DQN,12000,219.11999999999998,28.60555370972567,1,218.9
Double SOR DQN,12000,219.11999999999998,28.60555370972567,2,220.9
Double SOR DQN,12000,219.11999999999998,28.60555370972567,3,241.5
Double SOR DQN,12000,219.11999999999998,28.60555370972567,4,165.5
Double SOR DQN,13000,241.82000000000002,12.732972215472703,0,248.2
Double SOR DQN,13000,241.82000000000002,12.732972215472703,1,218.8
Double SOR DQN,13000,241.82000000000002,12.732972215472703,2,255.5
Double SOR DQN,13000,241.82000000000002,12.732972215472703,3,249.7
Double SOR DQN,13000,241.82000000000002,12.732972215472703,4,236.9
Double SOR DQN,14000,222.38000000000002,34.75337012492457,0,222.4
Double SOR DQN,14000,222.38000000000002,34.75337012492457,1,211.1
Double SOR DQN,14000,222.38000000000002,34.75337012492457,2,286.7
Double SOR DQN,14000,222.38000000000002,34.75337012492457,3,213.4
Double SOR DQN,14000,222.38000000000002,34.75337012492457,4,178.3
Double SOR DQN,15000,200.33999999999997,43.49290788346992,0,208.6
Double SOR DQN,15000,200.33999999999997,43.49290788346992,1,140.6
Double SOR DQN,15000,200.33999999999997,43.49290788346992,2,253.7
Double SOR DQN,15000,200.33999999999997,43.49290788346992,3,158.4
Double SOR DQN,15000,200.33999999999997,43.49290788346992,4,240.4
Double SOR DQN,16000,167.01999999999998,18.259101638361074,0,167.3
Double SOR DQN,16000,167.01999999999998,18.259101638361074,1,141.6
Double SOR DQN,16000,167.01999999999998,18.259101638361074,2,178.4
Double SOR DQN,16000,167.01999999999998,18.259101638361074,3,153.1
Double SOR DQN,16000,167.01999999999998,18.259101638361074,4,194.7
Double SOR DQN,17000,164.38000000000002,24.494385916776928,0,140.0
Double SOR DQN,17000,164.38000000000002,24.494385916776928,1,154.0
Double SOR DQN,17000,164.38000000000002,24.494385916776928,2,210.9
Double SOR DQN,17000,164.38000000000002,24.494385916776928,3,148.8
Double SOR DQN,17000,164.38000000000002,24.494385916776928,4,168.2
Double SOR DQN,18000,167.9,33.042542444551685,0,171.9
Double SOR DQN,18000,167.9,33.042542444551685,1,126.2
Double SOR DQN,18000,167.9,33.042542444551685,2,198.7
Double SOR DQN,18000,167.9,33.042542444551685,3,132.9
Double SOR DQN,18000,167.9,33.042542444551685,4,209.8
Double SOR DQN,19000,149.04000000000002,27.525030255387545,0,124.2
Double SOR DQN,19000,149.04000000000002,27.525030255387545,1,118.4
Double SOR DQN,19000,149.04000000000002,27.525030255387545,2,191.3
Double SOR DQN,19000,149.04000000000002,27.525030255387545,3,139.6
Double SOR DQN,19000,149.04000000000002,27.525030255387545,4,171.7
Double SOR DQN,20000,184.72,66.6834344334483,0,147.0
Double SOR DQN,20000,184.72,66.6834344334483,1,132.0
Double SOR DQN,20000,184.72,66.6834344334483,2,286.3
Double SOR DQN,20000,184.72,66.6834344334483,3,113.7
Double SOR DQN,20000,184.72,66.6834344334483,4,244.6
